postal_code,cms_visits_per_year,smile_number_of_visits
37203,89.0,155.5
37204,6.5,40.0
37211,52.5,269.5
37232,311.5,
37343,75.5,2.5
37416,12.0,0.5
37421,86.5,0.5
37909,7.0,16.0
37920,375.0,44.0
37923,8.5,13.5
38132,17.0,
38501,35.5,57.0
24201,,1.5
24202,,4.0
24245,,0.5
24248,,1.0
24301,,0.5
30097,,0.5
30741,,0.5
37011,,1.0
37012,,7.0
37013,,302.0
37015,,55.5
37020,,4.0
37022,,6.5
37023,,2.0
37025,,4.0
37026,,8.0
37027,,37.0
37029,,4.5
37030,,5.0
37031,,14.5
37032,,6.5
37033,,4.5
37034,,6.0
37035,,4.5
37036,,10.5
37037,,8.5
37040,,37.5
37042,,107.5
37043,,15.5
37046,,18.5
37047,,1.5
37048,,3.0
37049,,2.5
37055,,38.5
37057,,5.0
37058,,13.0
37059,,1.5
37060,,14.0
37061,,19.5
37062,,14.5
37064,,64.0
37066,,96.5
37067,,30.0
37069,,9.5
37072,,86.0
37073,,18.5
37074,,23.5
37075,,68.0
37076,,90.5
37077,,4.0
37079,,2.0
37080,,19.0
37082,,7.0
37083,,16.0
37085,,23.5
37086,,123.5
37087,,108.0
37090,,27.5
37091,,29.5
37098,,1.5
37101,,0.5
37110,,29.5
37115,,221.0
37122,,73.5
37127,,76.0
37128,,108.5
37129,,253.5
37130,,338.0
37134,,6.0
37135,,10.0
37138,,79.0
37141,,3.5
37143,,7.0
37145,,6.5
37146,,3.0
37148,,59.5
37149,,6.5
37150,,5.0
37153,,10.0
37160,,139.5
37166,,18.5
37167,,206.5
37172,,42.5
37174,,26.0
37179,,5.5
37180,,1.5
37181,,1.0
37184,,10.0
37185,,8.0
37186,,9.5
37187,,2.0
37188,,16.0
37189,,19.5
37190,,40.5
37191,,9.5
37201,,30.0
37202,,0.5
37205,,81.5
37206,,139.5
37207,,295.0
37208,,171.5
37209,,109.0
37210,,75.0
37212,,51.0
37213,,6.0
37214,,90.5
37215,,7.5
37216,,71.0
37217,,115.5
37218,,95.0
37219,,16.0
37220,,1.0
37221,,83.5
37228,,34.0
37238,,35.0
37301,,8.0
37305,,13.5
37310,,12.0
37311,,213.5
37312,,113.0
37313,,2.0
37318,,3.0
37320,,0.5
37321,,13.5
37322,,13.5
37323,,238.5
37324,,8.5
37325,,2.5
37327,,1.5
37328,,1.5
37329,,2.5
37330,,4.0
37334,,37.5
37335,,2.0
37336,,0.5
37337,,0.5
37338,,0.5
37339,,2.0
37340,,9.5
37341,,1.0
37347,,5.5
37349,,2.0
37352,,5.5
37353,,11.0
37354,,9.5
37355,,35.5
37356,,17.0
37357,,7.0
37359,,0.5
37360,,6.0
37362,,1.0
37365,,1.0
37366,,8.5
37367,,1.5
37370,,0.5
37373,,0.5
37374,,11.5
37375,,4.0
37379,,5.5
37380,,38.5
37381,,11.0
37384,,4.5
37385,,0.5
37387,,9.5
37388,,40.0
37396,,2.0
37397,,19.5
37398,,5.5
37402,,0.5
37404,,1.0
37406,,0.5
37408,,0.5
37415,,2.5
37450,,1.0
37601,,134.0
37604,,76.5
37605,,7.5
37615,,42.0
37616,,7.0
37617,,59.0
37618,,83.5
37620,,208.0
37625,,0.5
37640,,8.0
37641,,12.0
37642,,70.5
37643,,87.0
37645,,13.0
37650,,21.5
37656,,7.5
37657,,3.5
37658,,7.0
37659,,82.5
37660,,176.5
37663,,49.5
37664,,135.5
37665,,52.5
37680,,3.5
37681,,10.5
37683,,59.5
37684,,2.0
37686,,7.0
37687,,19.0
37688,,6.5
37690,,4.5
37691,,7.0
37692,,18.0
37694,,2.0
37701,,7.5
37705,,4.0
37707,,1.0
37709,,2.0
37710,,4.0
37711,,7.5
37713,,0.5
37714,,2.0
37716,,4.0
37721,,9.0
37722,,4.5
37724,,2.0
37725,,5.0
37726,,3.5
37731,,4.0
37737,,3.0
37738,,3.5
37743,,45.5
37745,,32.0
37748,,0.5
37752,,6.5
37754,,2.0
37757,,1.0
37760,,4.5
37763,,2.0
37764,,14.5
37765,,1.0
37766,,1.5
37771,,4.5
37774,,6.0
37777,,2.0
37779,,2.5
37801,,17.0
37803,,8.0
37804,,6.5
37806,,5.0
37807,,9.5
37809,,3.5
37810,,3.0
37811,,1.5
37813,,2.5
37814,,9.0
37818,,7.0
37820,,7.0
37821,,45.0
37825,,4.5
37830,,6.0
37831,,0.5
37849,,20.0
37854,,18.0
37857,,77.0
37860,,1.0
37861,,4.0
37862,,77.5
37863,,2.0
37864,,3.0
37865,,20.0
37866,,0.5
37869,,20.0
37870,,0.5
37871,,7.0
37873,,10.0
37876,,39.0
37879,,3.0
37880,,0.5
37881,,1.0
37890,,2.5
37891,,0.5
37901,,0.5
37902,,1.0
37912,,42.5
37914,,30.0
37915,,11.5
37916,,0.5
37917,,43.0
37918,,41.0
37919,,28.5
37921,,28.0
37922,,13.0
37924,,18.5
37931,,18.5
37932,,3.0
37933,,1.5
37938,,7.5
38001,,0.5
38002,,27.5
38004,,2.0
38011,,6.5
38012,,5.5
38015,,4.5
38016,,40.5
38017,,34.0
38018,,58.0
38019,,25.0
38023,,11.5
38024,,19.5
38027,,1.5
38028,,3.5
38034,,1.5
38039,,1.5
38040,,2.0
38042,,6.0
38049,,11.0
38052,,1.0
38053,,33.0
38057,,5.0
38058,,1.5
38059,,4.5
38060,,2.5
38063,,4.0
38066,,4.0
38067,,0.5
38068,,11.5
38075,,1.5
38076,,3.0
38079,,9.5
38080,,7.5
38103,,7.5
38104,,115.5
38105,,29.0
38106,,49.0
38107,,60.0
38108,,40.5
38109,,153.5
38111,,78.0
38112,,40.5
38114,,67.5
38115,,69.5
38116,,135.0
38117,,21.5
38118,,73.5
38119,,13.5
38120,,9.0
38122,,70.0
38125,,63.0
38126,,2.0
38127,,178.5
38128,,119.5
38131,,3.0
38133,,34.5
38134,,40.0
38135,,36.5
38138,,18.5
38139,,3.5
38141,,36.5
38184,,8.5
38220,,0.5
38221,,6.5
38222,,0.5
38225,,3.5
38229,,1.0
38230,,1.0
38232,,7.5
38237,,3.5
38240,,2.5
38242,,20.5
38256,,5.0
38260,,4.0
38261,,2.5
38301,,4.5
38305,,4.5
38315,,0.5
38316,,6.0
38320,,7.5
38334,,0.5
38340,,3.0
38341,,1.0
38342,,5.5
38344,,1.5
38345,,0.5
38351,,3.5
38358,,1.0
38363,,3.5
38368,,1.0
38369,,0.5
38371,,0.5
38380,,1.0
38382,,1.5
38401,,22.5
38402,,0.5
38425,,1.5
38450,,4.5
38451,,1.5
38453,,1.0
38456,,0.5
38457,,1.5
38460,,2.5
38462,,11.0
38463,,1.5
38464,,25.5
38468,,1.0
38469,,6.0
38471,,0.5
38472,,7.0
38474,,11.0
38476,,0.5
38478,,7.5
38483,,2.0
38485,,1.5
38486,,0.5
38488,,0.5
38506,,35.5
38541,,1.0
38543,,2.0
38544,,16.0
38547,,4.5
38548,,0.5
38549,,4.5
38551,,6.5
38553,,1.0
38555,,2.5
38556,,26.0
38558,,11.5
38559,,3.5
38562,,5.5
38563,,3.0
38567,,1.0
38568,,1.0
38570,,8.5
38571,,10.5
38572,,1.5
38573,,0.5
38574,,10.5
38575,,0.5
38577,,1.5
38578,,0.5
38579,,5.5
38580,,1.0
38581,,3.0
38583,,6.0
38585,,8.0
38654,,0.5
